CO2 Concentration (CO2 parts per million (ppm)),,
Year,Baseline,Current Scenario
2000,367.1,367.1
2001,368.74,368.74
2002,370.43,370.43
2003,372.16,372.16
2004,373.92,373.92
2005,375.73,375.73
2006,377.61,377.61
2007,379.56,379.56
2008,381.58,381.58
2009,383.68,383.68
2010,385.79,385.79
2011,387.95,387.95
2012,390.15,390.15
2013,392.42,392.42
2014,394.73,394.73
2015,397.1,397.1
2016,399.51,399.51
2017,401.96,401.96
2018,404.43,404.43
2019,406.94,406.94
2020,409.47,409.47
2021,411.95,411.95
2022,414.39,414.39
2023,416.86,416.86
2024,419.34,419.34
2025,421.83,421.83
2026,424.33,424.31
2027,426.82,426.71
2028,429.32,429.02
2029,431.82,431.21
2030,434.32,433.24
2031,436.81,435.12
2032,439.31,436.82
2033,441.79,438.34
2034,444.28,439.67
2035,446.76,440.82
2036,449.24,441.78
2037,451.71,442.59
2038,454.18,443.26
2039,456.65,443.81
2040,459.12,444.25
2041,461.58,444.58
2042,464.04,444.83
2043,466.51,445
2044,468.97,445.11
2045,471.44,445.17
2046,473.92,445.18
2047,476.39,445.14
2048,478.88,445.07
2049,481.37,444.96
2050,483.86,444.83
2051,486.37,444.68
2052,488.88,444.51
2053,491.41,444.33
2054,493.96,444.14
2055,496.51,443.95
2056,499.08,443.75
2057,501.66,443.55
2058,504.26,443.36
2059,506.87,443.17
2060,509.49,443
2061,512.13,442.82
2062,514.79,442.66
2063,517.46,442.51
2064,520.14,442.38
2065,522.84,442.25
2066,525.55,442.14
2067,528.28,442.04
2068,531.03,441.96
2069,533.79,441.89
2070,536.56,441.84
2071,539.35,441.81
2072,542.16,441.8
2073,544.97,441.8
2074,547.81,441.82
2075,550.65,441.86
2076,553.51,441.91
2077,556.38,441.99
2078,559.27,442.09
2079,562.17,442.2
2080,565.08,442.34
2081,568,442.5
2082,570.94,442.67
2083,573.88,442.87
2084,576.84,443.08
2085,579.81,443.32
2086,582.78,443.57
2087,585.77,443.84
2088,588.77,444.13
2089,591.78,444.44
2090,594.8,444.77
2091,597.83,445.11
2092,600.86,445.48
2093,603.91,445.86
2094,606.97,446.26
2095,610.03,446.68
2096,613.11,447.11
2097,616.19,447.56
2098,619.28,448.03
2099,622.38,448.51
2100,625.49,449.01